Time(s),KE_Y
2.1466,   0.0
2.2089,   0.0
2.2876,   0.0
2.3498,   0.0
2.4282,   0.0
2.4908,   0.0
2.5533,   0.0
2.6158,   0.0
2.6951,   0.0
2.7572,   0.0
2.8197,   0.0
2.8998,   0.0
2.9776,   0.0
3.0561,   0.0
3.1350,   0.0
3.1976,   0.0
3.2627,   0.0
3.3392,   0.0
3.4018,   0.0
3.4647,   0.0
3.5272,   0.0
3.6054,   0.0
3.6835,   0.0
3.7479,   0.0
3.8097,   0.0
3.8725,   0.0
3.9350,   0.0
3.9979,  0.01
4.0604,  0.01
4.1389,  0.01
4.2018,  0.02
4.2803,  0.04
4.3428,  0.05
4.4053,  0.05
4.4678,  0.04
4.5304,  0.04
4.5933,  0.03
4.6558,  0.03
4.7185,  0.02
4.7814,  0.02
4.8439,  0.02
4.9065,  0.02
4.9690,  0.02
5.0317,  0.01
5.0942,  0.01
5.1573,  0.01
5.2203,   0.0
5.2831,   0.0
5.3460,   0.0
5.4085,   0.0
5.4710,   0.0
5.5339,  0.01
5.5977,  0.02
5.6591,  0.02
5.7375,  0.03
5.8000,  0.04
5.8781,  0.06
5.9562,  0.09
6.0191,  0.12
6.0818,  0.17
6.1602,  0.21
6.2227,  0.27
6.2852,  0.32
6.3634,  0.35
6.4259,  0.33
6.4896,  0.27
6.5524,  0.19
6.6306,   0.1
6.6956,  0.02
6.7568,   0.0
6.8193,  0.04
6.8818,  0.13
6.9472,  0.23
7.0113,  0.32
7.0765,  0.37
7.1493,  0.38
7.2284,  0.35
7.3073,  0.29
7.3703,  0.21
7.4352,  0.14
7.4984,  0.08
7.5598,  0.04
7.6230,  0.01
7.6879,   0.0
7.7506,  0.02
7.8134,  0.06
7.8899,  0.13
7.9530,  0.22
8.0177,  0.32
8.0955,  0.42
8.1576,  0.48
8.2208,   0.5
8.2835,  0.46
8.3461,  0.34
8.4091,   0.2
8.4720,  0.08
8.5503,  0.01
8.6174,  0.01
8.6948,  0.05
8.7554,  0.11
8.8179,  0.17
8.8812,  0.23
8.9597,  0.26
9.0229,  0.26
9.0866,  0.23
9.1487,  0.18
9.2112,  0.12
9.2737,  0.07
9.3362,  0.04
9.3987,  0.01
9.4612,   0.0
9.5237,  0.01
9.5894,  0.04
